belive	BELIVE	0.9864722176185416	BELIEVE	0.239553087803379	BELEIVE	0.00012168402940209593	BELIEF	3.934997315157401e-05	BELIZE	2.6484022168242443e-08	BELIEVES	4.663419528387528e-09	RELIVE	1.916018148108853e-09	OLIVE	1.188599074697514e-09	BELIEVED	4.916534465387031e-10	BOLIVIA	4.725674358100676e-10	
bouyant	BUOYANT	3.974151029003107e-07	BOUND	3.259755500581092e-08	BOUNTY	2.296574251015561e-10	POUND	4.258938457494343e-12	BANTU	4.128318459224756e-12	BRYANT	1.7668455405925271e-12	POINT	9.205304527422063e-13	MUTANT	7.393035995882631e-13	BUTANE	4.868142242963337e-13	COURANT	4.633957123274391e-13	
comitte	COMMITTEE	0.00031474589335681974	COMITE	7.889612324911945e-05	COMMITTE	4.088983009286549e-05	COMTE	1.1223563383984683e-06	COMMUTE	8.319451262766401e-07	COMMITEE	4.3538299275022844e-07	COMMATE	3.9690386683317465e-07	COMMIT	3.883956753697125e-08	COMPETE	1.5035213944091022e-08	COMET	1.0645547885691108e-08	
distarct	DISTRICT	0.00012544643131883978	DISTRACT	1.6914482213171763e-06	DISTANCE	7.918729825864984e-09	DESTRUCT	1.1391444184469824e-09	DISTINCT	6.526253566642545e-11	DISTANT	7.86235828810839e-12	DISTANCES	5.338680630285175e-12	DISTRICTS	1.232057144836638e-12	DISPATCH	1.1572183870896943e-12	DISTORT	6.973342057448758e-13	
extacy	ECSTACY	9.468119306114919e-09	EXACT	1.0804809665853293e-09	EXTRACT	2.049373629268007e-10	EXTANT	1.3126692358564128e-10	EXODUS	1.1536997001979767e-10	ECSTASY	9.82058483580333e-11	EXPASY	3.2892059042389506e-11	STACY	1.3772377391214354e-11	ESTATE	1.1159591472691241e-12	EXTENT	1.0615524946677562e-12	
failr	FAILURE	8.443725916956361e-06	FLR	5.115769655420259e-07	FAIL	1.4219493198790458e-07	FAIR	7.784727556400758e-08	FILER	4.657714318259522e-08	FAILS	4.437653224131988e-08	FLAIR	4.254012360844842e-08	FAYLOR	7.960932973026356e-09	FILE	7.32264198580707e-09	FAVOR	6.170560852161626e-09	
hellpp	HELP	0.0002625308848521765	HELPU	2.1110935490693312e-08	HELLO	6.652687064627739e-11	HELLBOY	3.8528421203908236e-11	HELPS	9.960074628047683e-12	HELLS	9.383021265497777e-12	HELL	3.264072348091141e-12	HELLER	2.4268495577315494e-12	HELLEN	1.498092157757294e-12	CELLS	1.4736621278367965e-12	
gracefull	GRACEFUL	0.00025517812544403857	GRACEFULLY	0.00022475959621874513	GRATEFUL	7.742116938057108e-11	GRATEFULLY	1.694158969678559e-11	PEACEFUL	2.728529341756834e-14	PEACEFULLY	6.64085708715504e-15	USEFULL	4.684306071921214e-16	FATEFUL	1.9234741511371778e-16	TRACEABLE	1.9047682447093522e-17	STATEFUL	1.4848336534685474e-17	
liason	LIASON	0.24692705415781452	LIAISON	0.0012214780282493575	LESSON	1.4366611183444128e-06	LAWSON	5.677116809792616e-08	LIPSON	3.377650660789753e-08	LEESON	1.620847087767419e-08	LESION	6.656586148659302e-09	LITEON	6.942487285264407e-10	SEASON	6.644668930110178e-10	LION	2.3781390381771417e-10	
ocassion	OCCASSION	6.253186165232797e-05	OCCASION	1.0483562636916573e-06	PASSION	1.4842855870764733e-10	LOCATION	4.501317728531371e-11	FASHION	2.3081628611851084e-11	OMISSION	3.0737028487868978e-12	SESSION	2.6670336374056415e-12	ACTION	2.610596399494884e-12	OCCASIONI	1.870878750123531e-12	OPTION	9.944198454434413e-13	
possable	POSSIBLE	0.09108569746854157	POSEABLE	0.001472059480635988	PASSABLE	0.00010142545738376674	POSSIBLY	2.95094112320292e-06	POSIBLE	7.925298383371438e-08	POTABLE	7.513424421497075e-11	PORTABLE	2.7030377988569493e-11	NOTABLE	6.735239227832448e-13	CONSTABLE	3.591928997042315e-13	PEACEABLE	2.138647248475852e-13	
thruout	THROAT	4.828599609881954e-07	THROUGHOUT	1.7185559316194515e-09	THREAT	1.334816805127734e-10	TROUT	7.689124605729799e-11	THRUST	3.038258595643382e-11	TRYOUT	1.351960647009712e-11	TURNOUT	1.582959867096885e-12	THROUGHT	9.43481211749051e-13	THREAD	5.159041982774108e-13	TORTUOUS	8.127623207012975e-14	
volly	FOLLY	0.0005052429574166071	VOLLEY	0.00013360495059115286	FULLY	5.378267335127457e-05	VOLL	2.2744781579273535e-05	VALLEY	3.2038599976985053e-06	VILLA	1.3897412367119298e-06	FOLEY	7.314272103532415e-07	VOL	6.436923066225336e-07	VOILA	2.400318373116036e-07	VALLI	1.8054875704555807e-07	
tatoos	TATOOS	0.38802600849078867	TATTOOS	0.23534538782719147	DATOS	1.2017750168099376e-05	TATS	9.514148670594243e-07	TATES	1.0307407744026663e-07	DATES	4.482173316672687e-08	TODOS	2.3513291322081833e-08	DADOS	7.422163498886515e-09	TABOOS	3.084036520782666e-09	TOTS	2.854559741202795e-09	
respe	RESP	0.004863488766201697	RECIPE	0.0005474700250425607	RSPB	4.675928871933671e-06	RRSP	2.211002119847785e-07	RSP	1.8120718247476778e-07	RASP	1.0658190286712367e-07	RESET	5.358301572830042e-08	RES	3.8973619566215456e-08	RESPECT	1.3756297733389966e-08	REST	1.1997887209557632e-08	
