geant	geant	0.025767694011936494	giant	0.003130307569230718	gent	0.000110462281434402	
a	a	0.09787123002924046	
eath	oath	0.0028068783817946515	eth	0.0015454039379811432	with	0.00019835983236850526	
wate	wate	0.007416415548346131	wat	0.0034466686003780528	watt	0.0019311169521096792	
roff	roff	0.0627716221310585	roof	0.003043080018840745	ruff	0.0013402441185027178	
opinin	opinion	0.4032828547518384	opinions	6.691851737273928e-10	opening	6.61789925231229e-11	
futre	future	1.3375694614812463	futuro	2.9352228583444853e-06	futura	2.4069162004589873e-06	
extreem	extrem	0.00013374599100312898	extreme	1.9256651037663295e-06	extremo	1.1527406815480766e-07	
aisel	easel	3.5735004921009575e-07	wiesel	5.965796991703978e-08	wisely	3.119806352361672e-08	
robers	robbers	0.00014386045558928493	roberts	1.4335923896875762e-06	rubbers	9.278438964253583e-08	
presient	present	0.20744777245631735	prescient	3.785306117687468e-05	president	3.6743330018348063e-06	
goode	good	0.022183426332213225	goode	0.017569496414354218	god	9.302349900388011e-06	
men	men	4.005856045286429	menu	0.012753189796589126	mean	0.0002598902340206245	
briht	brit	0.002255080239353258	bright	0.0012276453809384371	britt	9.171898226880252e-05	
rainig	ring	3.18776752384126e-06	rang	7.258348131591991e-07	rating	2.5302054594691338e-08	
doggs	dogs	0.004466299745147553	diggs	0.0002665787435390868	docs	1.0006357284130953e-07	
spene	spine	0.00042393637135016067	spen	3.78888339341695e-05	spin	8.190915076326351e-07	
hart	hart	0.0007906750645628329	heart	0.00043695049783739476	hard	2.6696705380433747e-05	
broken	broken	0.0033473389287677013	broke	2.878536624730388e-11	broker	1.1601716020282599e-11	
coyote	coyote	0.008289511678561411	cote	7.4459171088122936e-09	coot	1.337024374152876e-09	
fox	fox	0.09597391087315522	vox	1.6128794517079535e-06	foxx	5.266199754826252e-07	
footballhalloffame	ophthalmologists	0	commercialization	0	casarosaflorists	0	
giantcell	sandwell	0	giantess	0	daniell	0	
bags	bags	0.00025939285350725787	bugs	2.934481660824927e-07	bogs	2.135255988793874e-09	
hand	hand	0.0010519155136357863	handy	1.6722393221134516e-06	handa	2.47165473964389e-07	
